_id,Protocolo,data,hora,natureza,situacao,bairro,endereco,detalhe_endereco_acidente,complemento,bairro_cruzamento,sentido_via,tipo,auto,moto,ciclista,pedestre,onibus,caminhao,viatura,vitimas,vitimasfatais
692,202307046,2023-03-30 0:00:00,10:06:00,COM VÍTIMA,FINALIZADA,BOA VISTA,RUA DO HOSPICIO,,EM FRENTE AO COLEGIO JOAO BARBALHO,BOA VISTA,,COLISÃO LATERAL,0,2,0,0,0,0,0,1,0
693,202307060,2023-03-30 0:00:00,12:33:00,SEM VÍTIMA,FINALIZADA,BOA VIAGEM,AV BOA VIAGEM,,EM FRENTE AO EDFICIO BRIGADEIRO EDUARDO GOMES,BOA VIAGEM,CIDADE,COLISÃO TRASEIRA,1,0,0,0,0,0,1,0,0
694,202307062,2023-03-30 0:00:00,12:58:00,COM VÍTIMA,FINALIZADA,IMBIRIBEIRA,AV MARECHAL MASCARENHAS DE MORAES,,EM FRENTE A FIAT ITALIANA,IMBIRIBEIRA,,COLISÃO COM CICLISTA,0,0,1,0,1,0,0,1,0
695,202307075,2023-03-30 0:00:00,4:02:00,COM VÍTIMA,FINALIZADA,BOA VIAGEM,RUA VISCONDE DE JEQUITINHONHA,,DEPOIS DO ESPETINHO DO SEU DANIEL / PROX. AO PARQUE DONA LINDU / PRÉDIO SHALON,BOA VIAGEM,,COLISÃO LATERAL,1,1,0,0,0,0,0,1,0
696,202307082,2023-03-30 0:00:00,5:20:00,COM VÍTIMA,FINALIZADA,IMBIRIBEIRA,AV RECIFE,,"PROX. AO SAL E E BRASA, SOB",IMBIRIBEIRA,,ATROPELAMENTO DE PESSOA,0,1,0,1,0,0,0,1,0
697,202307099,2023-03-30 0:00:00,8:52:00,COM VÍTIMA,FINALIZADA,ENCRUZILHADA,AV BEBERIBE,,PRÓXIMO AO BANCO DO BRASIL,ENCRUZILHADA,,COLISÃO TRANSVERSAL,1,0,0,0,0,1,0,1,0
698,202307114,2023-03-31 0:00:00,7:08:00,COM VÍTIMA,FINALIZADA,CAXANGÁ,AV CAXANGA,,EM FRENTE A NISSAN E CAXANGÁ VEÍCULOS,CAXANGÁ,,COLISÃO FRONTAL,1,1,0,0,0,0,0,1,0
699,202307145,2023-03-31 0:00:00,10:23:00,COM VÍTIMA,FINALIZADA,TEJIPIÓ,AV DR JOSE RUFINO,,ESCOLA HUMBERTO CASTELO BRANCO,TEJIPIÓ,,COLISÃO LATERAL,1,1,0,0,0,0,0,3,0
700,202307162,2023-03-31 0:00:00,11:58:00,COM VÍTIMA,FINALIZADA,DERBY,AV GOVERNADOR AGAMENON MAGALHAES,,EM FRENTE A PETZ NO SENTIDO OLINDA,DERBY,SUBURBIO,COLISÃO TRASEIRA,1,1,0,0,0,0,0,1,0
701,202307169,2023-03-31 0:00:00,1:31:00,COM VÍTIMA,FINALIZADA,ÁGUA FRIA,AV BEBERIBE,,NA FRENTE AZEVEDO PESCADO,ÁGUA FRIA,,COLISÃO LATERAL,1,1,0,0,0,0,0,2,0
702,202307181,2023-03-31 0:00:00,3:54:00,SEM VÍTIMA,FINALIZADA,DERBY,RUA HENRIQUE DIAS,,EM FRENTE A FUNDAÇÃO JOAQUIM NABUCO,DERBY,,COLISÃO LATERAL,1,0,0,0,0,0,1,0,0
703,202307192,2023-03-31 0:00:00,6:15:00,COM VÍTIMA,FINALIZADA,BOA VIAGEM,RUA MINISTRO NELSON HUNGRIA,,NO EDIFICIO VALE DO TAKUANE,BOA VIAGEM,,CHOQUE,1,0,0,0,0,0,0,1,0
704,202307212,2023-04-01 0:00:00,12:09:00,COM VÍTIMA,FINALIZADA,ESPINHEIRO,RUA DA HORA,,PRÓX. À PIZZARIA PALERMO,ESPINHEIRO,,COLISÃO TRASEIRA,1,1,0,0,0,0,0,1,0
705,202307214,2023-04-01 0:00:00,2:50:00,COM VÍTIMA,FINALIZADA,ESPINHEIRO,AV JOAO DE BARROS,RUA DA HORA,PROX.  AO RESTAURANTE HIPORIO,ESPINHEIRO,,COLISÃO TRANSVERSAL,1,1,0,0,0,0,0,2,0
706,202307263,2023-04-01 0:00:00,12:06:00,COM VÍTIMA,FINALIZADA,ÁGUA FRIA,AV BEBERIBE,RUA ZEFERINO AGRA,PROX AO LOJÃO DO PETROLEO,ÁGUA FRIA,,COLISÃO LATERAL,1,1,0,0,0,0,0,1,0
707,202307265,2023-04-01 0:00:00,12:41:00,COM VÍTIMA,FINALIZADA,JIQUIÁ,RUA SAO MIGUEL,,E/F AO CONSUTORIO CERPE PROX AO CHARQUE NA BRASA,JIQUIÁ,,COLISÃO FRONTAL,1,1,0,0,0,0,0,2,0
708,202307271,2023-04-01 0:00:00,1:14:00,COM VÍTIMA,FINALIZADA,NOVA DESCOBERTA,RUA CORREGO DA AREIA,,E/F A CASAA DAS EMBALAGENS,NOVA DESCOBERTA,,COLISÃO FRONTAL,0,2,0,0,0,0,0,2,0
709,202307293,2023-04-01 0:00:00,6:43:00,COM VÍTIMA,FINALIZADA,SANTO AMARO,AV CRUZ CABUGA,,EM FRENTE AO HOSPITAL DA MARINHA,SANTO AMARO,,COLISÃO TRASEIRA,2,0,0,0,0,0,0,1,0
710,202307301,2023-04-01 0:00:00,10:32:00,COM VÍTIMA,CANCELADA,IBURA,RUA VALE DO ITAJAI,,EM FRENTE A UPA,IBURA,,COLISÃO FRONTAL,0,1,1,0,0,0,0,2,0
711,202307303,2023-04-01 0:00:00,11:11:00,SEM VÍTIMA,FINALIZADA,BOA VIAGEM,RUA DEZ DE JULHO,,,BOA VIAGEM,,COLISÃO LATERAL,1,1,0,0,0,0,0,0,0
712,202307322,2023-04-02 0:00:00,7:13:00,VÍTIMA FATAL,FINALIZADA,PINA,AVENIDA CELSO FURTADO (VIA MANGUE),,"SENTIDO BOA VIAGEM, PROX, AO AERO CLUBE",PINA,,CHOQUE,0,1,0,0,0,0,0,1,1
713,202307347,2023-04-02 0:00:00,2:16:00,SEM VÍTIMA,FINALIZADA,IBURA,RUA DR OTAVIO DE MORAES VASCONCELOS,,EM FRENTE AO SUPERMERCADO TREVO,IBURA,,COLISÃO LATERAL,1,0,0,0,0,1,0,0,0
714,202307359,2023-04-02 0:00:00,5:36:00,SEM VÍTIMA,FINALIZADA,VASCO DA GAMA,RUA FREDERICO OZANAN,,PROXIMO AO LAR DE ITA,VASCO DA GAMA,,COLISÃO LATERAL,0,0,0,0,0,0,2,0,0
715,202307366,2023-04-02 0:00:00,7:03:00,COM VÍTIMA,FINALIZADA,JARDIM SÃO PAULO,RUA LEANDRO BARRETO,,ASSEMBLEIA DE DEUS,JARDIM SÃO PAULO,,COLISÃO TRANSVERSAL,1,1,0,0,0,0,0,1,0
716,202307374,2023-04-03 0:00:00,12:47:00,COM VÍTIMA,CANCELADA,JOANA BEZERRA,PTE JOSE DE BARROS LIMA,,SENTIDO  BOA VIAGEM,JOANA BEZERRA,,ATROPELAMENTO DE PESSOA,1,0,0,1,0,0,0,1,0
717,202307375,2023-04-03 0:00:00,1:24:00,COM VÍTIMA,FINALIZADA,PORTO DA MADEIRA,AV BEBERIBE,,EM FRENTE  ARENA SHOW BAR,PORTO DA MADEIRA,,COLISÃO TRANSVERSAL,1,1,0,0,0,0,0,1,0
718,202307377,2023-04-03 0:00:00,3:56:00,COM VÍTIMA,FINALIZADA,TORRÕES,AV ENGENHEIRO ABDIAS DE CARVALHO,,"EM FRENTE AO COMPAZ "" ARIANO SUASSUNA""",TORRÕES,,CHOQUE,1,0,0,0,0,0,0,1,0
719,202307383,2023-04-03 0:00:00,8:00:00,COM VÍTIMA,FINALIZADA,BAIRRO DO RECIFE,RUA AURORA,AV NORTE MIGUEL ARRAES DE ALENCAR,INICIO DA PONTE DO LIMOEIRO,BAIRRO DO RECIFE,,COLISÃO TRASEIRA,1,0,1,0,0,0,0,1,0
720,202307384,2023-04-03 0:00:00,8:04:00,COM VÍTIMA,FINALIZADA,SÃO JOSÉ,AV DANTAS BARRETO,RUA SAO JOAO,PRÓX. AO TERMINAL DA LINHA 1002 / PRÓX. À CAIXA,SÃO JOSÉ,,COLISÃO LATERAL,0,1,0,0,1,0,0,2,0
721,202307389,2023-04-03 0:00:00,8:28:00,COM VÍTIMA,DUPLICIDADE,SANTO AMARO,RUA DA AURORA,,"EM CIMA DA PONTE, PRÓX AO ANTIGO HOSPITAL DA COVID",SANTO AMARO,,COLISÃO COM CICLISTA,1,0,1,0,0,0,0,1,0
722,202307396,2023-04-03 0:00:00,9:07:00,COM VÍTIMA,FINALIZADA,IBURA,AV RECIFE,,EM FRENTE AO  MAIS VISTORIAS,IBURA,,COLISÃO LATERAL,1,1,0,0,0,0,0,1,0
723,202307406,2023-04-03 0:00:00,10:08:00,COM VÍTIMA,FINALIZADA,IBURA,AV RECIFE,RUA ROSA MAGALHAES,LADO OPOSTO AO ARMAZÉM CORAL,IBURA,,ATROPELAMENTO DE PESSOA,1,0,0,1,0,0,0,1,0
724,202307414,2023-04-03 0:00:00,11:02:00,COM VÍTIMA,FINALIZADA,IMBIRIBEIRA,RUA BARAO DE AGUA BRANCA,,PRÓX. AO COLÉGIO COGNITIVO,IMBIRIBEIRA,,COLISÃO FRONTAL,3,0,0,0,0,0,0,2,0
725,202307424,2023-03-30 0:00:00,3:10:00,COM VÍTIMA,FINALIZADA,IBURA,RUA EMILIO MONTEIRO FONSECA,RUA VIRGINOPOLIS,,IBURA,SUBURBIO,COLISÃO TRASEIRA,1,1,0,0,0,0,0,1,0
726,202307430,2023-04-03 0:00:00,2:40:00,SEM VÍTIMA,FINALIZADA,SÃO JOSÉ,RUA DA CONCORDIA,RUA DO PEIXOTO,,SÃO JOSÉ,CIDADE,,2,0,0,0,0,0,0,0,0
727,202307436,2023-04-03 0:00:00,4:26:00,COM VÍTIMA,FINALIZADA,BOA VISTA,RUA DOM BOSCO,RUA HENRIQUE DIAS,EM FRENTE DA CNBB,BOA VISTA,,COLISÃO LATERAL,1,1,0,0,0,0,0,1,0
728,202307445,2023-04-03 0:00:00,5:49:00,COM VÍTIMA,CANCELADA,JARDIM SÃO PAULO,RUA GERSON MONTEIRO DE LIMA,,PROX AO ANTIGO COLEGIO BETEL,JARDIM SÃO PAULO,,CHOQUE,1,0,0,0,0,0,0,1,0
729,202307456,2023-04-03 0:00:00,8:47:00,COM VÍTIMA,FINALIZADA,AREIAS,RUA CAPITAO GREGORIO DE ALBUQUERQUE,,PRÓXIMO A RUA DO INSPETOR BOSCO,AREIAS,,ATROPELAMENTO DE PESSOA,1,0,0,1,0,0,0,1,0
730,202307458,2023-04-03 0:00:00,9:02:00,COM VÍTIMA,FINALIZADA,CORDEIRO,AV CAXANGA,,PRÓXIMO AO COLEGIO PIO XII,CORDEIRO,,COLISÃO TRASEIRA,1,1,0,0,0,0,0,1,0
731,202307474,2023-04-04 0:00:00,7:16:00,SEM VÍTIMA,FINALIZADA,CAXANGÁ,AV JOAQUIM RIBEIRO,RUA GASTAO VIDIGAL,LADO OPOSTO AO POSTO SHELL,CAXANGÁ,CIDADE,,1,0,0,0,1,0,0,0,0
732,202307481,2023-04-04 0:00:00,7:53:00,COM VÍTIMA,DUPLICIDADE,IMBIRIBEIRA,AV MARECHAL MASCARENHAS DE MORAES,,EM FRENTE À CAOA,IMBIRIBEIRA,CIDADE,COLISÃO LATERAL,0,0,0,0,0,0,0,1,0
733,202307485,2023-04-04 0:00:00,8:03:00,COM VÍTIMA,FINALIZADA,IMBIRIBEIRA,AV MARECHAL MASCARENHAS DE MORAES,,Concessionária CAOA Chery,IMBIRIBEIRA,,COLISÃO LATERAL,1,1,0,0,0,0,0,1,0
734,202307490,2023-04-04 0:00:00,8:29:00,COM VÍTIMA,FINALIZADA,ENCRUZILHADA,AV BEBERIBE,,AUTO ESCOLA BELEM,ENCRUZILHADA,,COLISÃO LATERAL,1,1,0,0,0,0,0,1,0
735,202307492,2023-04-04 0:00:00,9:01:00,COM VÍTIMA,FINALIZADA,PAISSANDU,AV GOVERNADOR AGAMENON MAGALHAES,,EM FRENTE AO HOSPITAL PORTUGUÊS,PAISSANDU,,COLISÃO FRONTAL,1,1,0,0,0,0,0,2,0
736,202307497,2023-04-04 0:00:00,9:23:00,COM VÍTIMA,FINALIZADA,IPUTINGA,AV MAURICIO DE NASSAU,AV CAXANGA,PROXIMO A FUNDAÇÃO ALTINO VENTURA,IPUTINGA,,COLISÃO LATERAL,0,0,0,0,0,0,0,1,0
737,202307527,2023-04-04 0:00:00,1:02:00,COM VÍTIMA,FINALIZADA,MADALENA,RUA BENFICA,,EM FRENTE AO MARTELINHO DE OURO,MADALENA,,COLISÃO COM CICLISTA,0,0,1,0,1,0,0,1,0
738,202307528,2023-04-04 0:00:00,1:02:00,COM VÍTIMA,FINALIZADA,ÁGUA FRIA,RUA DR EUDES COSTA,,E/F AO MERCADINHO MAIS VOCE TEM,ÁGUA FRIA,,COLISÃO LATERAL,1,1,0,0,0,0,0,1,0
739,202307531,2023-04-04 0:00:00,1:11:00,SEM VÍTIMA,FINALIZADA,SÃO JOSÉ,C SANTA RITA,VDO DAS CINCO PONTAS,OPOSTO AO 16º BATALHÃO DA POLÍCIA MILITAR,SÃO JOSÉ,CIDADE,,1,0,0,0,0,0,1,0,0
740,202307534,2023-04-04 0:00:00,1:33:00,COM VÍTIMA,CANCELADA,JORDÃO,RUA DR ALVARO FERRAZ,,PROX AO TERMINAL DE JORDÃO BAIXO,JORDÃO,,COLISÃO LATERAL,1,1,0,0,0,0,0,1,0
741,202307536,2023-04-04 0:00:00,2:59:00,COM VÍTIMA,FINALIZADA,BOA VIAGEM,RUA SA E SOUZA,,PROXIMO A PADARIA SANTA ROSA,BOA VIAGEM,,COLISÃO LATERAL,0,1,0,0,0,0,0,1,0
742,202307568,2023-04-05 0:00:00,1:48:00,COM VÍTIMA,FINALIZADA,BOA VIAGEM,AV BOA VIAGEM,,PRÓX. À PRACINHA DE BOA VIAGEM,BOA VIAGEM,,COLISÃO TRASEIRA,1,1,0,0,0,0,0,1,0
743,202307584,2023-04-05 0:00:00,8:00:00,COM VÍTIMA,FINALIZADA,DERBY,RUA FELICIANO GOMES,,CERPE,DERBY,,COLISÃO FRONTAL,1,1,0,0,0,0,0,2,0
744,202307623,2023-04-05 0:00:00,1:47:00,COM VÍTIMA,FINALIZADA,ARRUDA,AV BEBERIBE,,EM FRENTE AO BOMPREÇO DO ARRUDA,ARRUDA,,COLISÃO LATERAL,1,1,0,0,0,0,0,1,0
745,202307625,2023-04-05 0:00:00,2:27:00,SEM VÍTIMA,FINALIZADA,ESPINHEIRO,AV GOVERNADOR AGAMENON MAGALHAES,,CREA - PE,ESPINHEIRO,CIDADE,COLISÃO TRANSVERSAL,2,0,0,0,0,0,0,0,0
746,202307628,2023-04-05 0:00:00,3:00:00,COM VÍTIMA,FINALIZADA,DERBY,AV GOVERNADOR AGAMENON MAGALHAES,,"E/F AO BRADESCO S, /T OLINDA",DERBY,,COLISÃO TRASEIRA,0,2,0,0,0,0,0,2,0
747,202307631,2023-04-05 0:00:00,3:05:00,COM VÍTIMA,FINALIZADA,ESTÂNCIA,AV RECIFE,,LADO OPOSTO AO ATACADÃO/ SENTIDO CAXANGA,ESTÂNCIA,,COLISÃO LATERAL,0,2,0,0,0,0,0,1,0
748,202307634,2023-04-05 0:00:00,3:24:00,SEM VÍTIMA,FINALIZADA,AREIAS,RUA JOSE NATARIO,,PROX A ESTAÇÃO DO WERNECK,AREIAS,,COLISÃO LATERAL,0,1,0,0,1,0,0,0,0
749,202307653,2023-04-05 0:00:00,5:51:00,COM VÍTIMA,FINALIZADA,AFOGADOS,AV SUL,,POLICLÍNICA AGAMENON MAGALHÃES,AFOGADOS,,COLISÃO LATERAL,0,2,0,0,0,0,0,2,0
750,202307654,2023-04-05 0:00:00,5:53:00,COM VÍTIMA,FINALIZADA,IMBIRIBEIRA,AV ANTONIO TORRES GALVAO,RUA ALFREDO MARCONDES,,IMBIRIBEIRA,,COLISÃO TRANSVERSAL,0,1,0,0,0,1,0,1,0
751,202307660,2023-04-05 0:00:00,7:27:00,COM VÍTIMA,FINALIZADA,BOA VIAGEM,AVENIDA CELSO FURTADO (VIA MANGUE),,"ANTES DO HIBER BOMPREÇO, NO VIADUTO",BOA VIAGEM,SUBURBIO,COLISÃO TRASEIRA,1,1,0,0,0,0,0,1,0
752,202307665,2023-04-05 0:00:00,9:19:00,COM VÍTIMA,CANCELADA,CÓRREGO DO JENIPAPO,RUA DAS FLORES,,PRÓXIMO A UPINHA DO CORREGO DO JENIPAPO,CÓRREGO DO JENIPAPO,,COLISÃO FRONTAL,1,1,0,0,0,0,0,2,0
753,202307667,2023-04-05 0:00:00,9:28:00,COM VÍTIMA,CANCELADA,BOA VIAGEM,AV ARMINDO MOURA,RUA VISCONDE DE JEQUITINHONHA,,BOA VIAGEM,CIDADE,COLISÃO LATERAL,1,1,0,0,0,0,0,1,0
754,202307670,2023-04-06 0:00:00,1:21:00,SEM VÍTIMA,FINALIZADA,SANTO AMARO,AV GOVERNADOR AGAMENON MAGALHAES,,SOB O VIADUTO  ENGº ROBERTO PEREIRA DE CARVALHO,SANTO AMARO,,CHOQUE,0,0,0,0,0,0,1,0,0
755,202307676,2023-04-06 0:00:00,6:46:00,COM VÍTIMA,FINALIZADA,BAIRRO DO RECIFE,AV RIO BRANCO,CAIS DO APOLO,AO LADO DO BANCO DO BRASIL - SENT. SUBÚRBIO,BAIRRO DO RECIFE,,COLISÃO TRASEIRA,1,1,0,0,0,0,0,1,0
756,202307693,2023-04-06 0:00:00,10:05:00,COM VÍTIMA,FINALIZADA,AREIAS,AV RECIFE,,EM FRENTE AO ATACADÃO SENT. BR-101,AREIAS,,COLISÃO FRONTAL,1,1,0,0,0,0,0,1,0
757,202307695,2023-04-06 0:00:00,10:14:00,COM VÍTIMA,FINALIZADA,BOA VIAGEM,AVENIDA CELSO FURTADO (VIA MANGUE),,POR TRÁS DO ANTIGO EXTRA,BOA VIAGEM,CIDADE,COLISÃO LATERAL,0,0,0,0,0,0,0,1,0
758,202307698,2023-04-06 0:00:00,10:55:00,COM VÍTIMA,CANCELADA,CORDEIRO,RUA XAVIER DE BRITO,,,CORDEIRO,,COLISÃO LATERAL,0,0,0,0,0,0,0,1,0
759,202307701,2023-04-06 0:00:00,11:22:00,COM VÍTIMA,FINALIZADA,AFOGADOS,RUA VINTE E UM DE ABRIL,,,AFOGADOS,,ATROPELAMENTO DE PESSOA,1,0,0,1,0,0,0,1,0
760,202307702,2023-04-06 0:00:00,11:48:00,COM VÍTIMA,FINALIZADA,CORDEIRO,RUA DR MIGUEL VIEIRA FERREIRA,RUA PROFESSOR JOAQUIM XAVIER DE BRITO,,CORDEIRO,,COLISÃO COM CICLISTA,0,1,1,0,0,0,0,2,0
761,202307703,2023-04-06 0:00:00,1:18:00,COM VÍTIMA,FINALIZADA,LINHA DO TIRO,RUA ALTO DOS COQUEIROS,,,LINHA DO TIRO,,TOMBAMENTO,1,0,0,0,0,1,0,1,0
762,202307738,2023-04-07 0:00:00,8:29:00,SEM VÍTIMA,FINALIZADA,AFOGADOS,EST DOS REMEDIOS,,EM FRENTE À OFICINA CORSEL,AFOGADOS,,COLISÃO FRONTAL,0,1,0,0,0,0,0,0,0
763,202307743,2023-04-08 0:00:00,3:54:00,SEM VÍTIMA,FINALIZADA,ILHA DO RETIRO,AV ENGENHEIRO ABDIAS DE CARVALHO,,EM FRENTE AO SPORT,ILHA DO RETIRO,,COLISÃO LATERAL,0,0,0,0,0,0,0,0,0
764,202307750,2023-04-08 0:00:00,7:02:00,SEM VÍTIMA,FINALIZADA,VÁRZEA,RUA TORRES HOMEM,,,VÁRZEA,,APOIO CELPE,0,0,0,0,0,0,0,0,0
765,202307751,2023-04-08 0:00:00,9:04:00,SEM VÍTIMA,FINALIZADA,VÁRZEA,RUA TORRES HOMEM,,,VÁRZEA,,APOIO CELPE,0,0,0,0,0,0,0,0,0
766,202307759,2023-04-08 0:00:00,10:59:00,COM VÍTIMA,FINALIZADA,SANTO ANTÔNIO,PTE BUARQUE DE MACEDO,AV MARTINS DE BARROS,,SANTO ANTÔNIO,,COLISÃO TRASEIRA,1,1,0,0,0,0,0,2,0
767,202307761,2023-04-08 0:00:00,12:42:00,COM VÍTIMA,FINALIZADA,BEBERIBE,AV BEBERIBE,,,BEBERIBE,,COLISÃO LATERAL,1,1,0,0,0,0,0,1,0
768,202307777,2023-04-08 0:00:00,9:45:00,COM VÍTIMA,FINALIZADA,AREIAS,AV DR JOSE RUFINO,,PRÓXIMO À IGREJA PRESBITERIANA,AREIAS,,COLISÃO LATERAL,1,1,0,0,0,0,0,1,0
769,202307794,2023-04-09 0:00:00,9:43:00,SEM VÍTIMA,FINALIZADA,SANTO ANTÔNIO,RUA NOSSA SRA DO CARMO,RUA DO RANGEL,SEMÁFORO Nº 017,SANTO ANTÔNIO,CIDADE,,1,0,0,0,0,0,0,0,0
770,202307805,2023-04-09 0:00:00,4:40:00,COM VÍTIMA,FINALIZADA,TAMARINEIRA,RUA SEBASTIAO MALTA ARCOVERDE,,EM FRENTE AO FAACA BURGUER,TAMARINEIRA,,COLISÃO LATERAL,1,1,0,0,0,0,0,1,0
771,202307810,2023-04-09 0:00:00,7:30:00,COM VÍTIMA,FINALIZADA,BOA VIAGEM,AV ENGENHEIRO DOMINGOS FERREIRA,,EM FRENTE AO SPETTUS,BOA VIAGEM,,COLISÃO LATERAL,1,1,0,0,0,0,0,1,0
772,202307811,2023-04-09 0:00:00,9:46:00,COM VÍTIMA,FINALIZADA,IBURA,AV DOIS RIOS,,PRÓXIMO A LADEIRA DA COHAB,IBURA,,COLISÃO LATERAL,1,1,0,0,0,0,0,2,0
773,202307812,2023-04-10 0:00:00,12:07:00,COM VÍTIMA,FINALIZADA,,AV BEBERIBE,,EM FRENTE AO SEST SENAT,,,COLISÃO TRANSVERSAL,0,0,0,0,0,0,0,1,0
774,202307813,2023-04-10 0:00:00,4:55:00,VÍTIMA FATAL,FINALIZADA,BOA VIAGEM,AV BOA VIAGEM,,EM FRENTE AO EDF. MARIA LEOPOLDINA,BOA VIAGEM,,TOMBAMENTO,1,0,0,0,0,0,0,1,1
775,202307833,2023-04-10 0:00:00,10:02:00,COM VÍTIMA,FINALIZADA,PINA,RUA MANOEL DE BRITO,,INÍCIO DO TÚNEL JOSUÉ DE CASTRO,PINA,,COLISÃO LATERAL,3,1,0,0,0,0,0,1,0
776,202307837,2023-04-10 0:00:00,10:14:00,COM VÍTIMA,FINALIZADA,MADALENA,AV BEIRA RIO,,EM FRENTE AO EDF. RIVER TOWER RESIDENCE,MADALENA,,COLISÃO LATERAL,1,1,0,0,0,0,0,1,0
777,202307861,2023-04-10 0:00:00,2:41:00,COM VÍTIMA,FINALIZADA,TORRE,RUA REAL DA TORRE,,EM FRENTE A ESCOLA DESPERTAR,TORRE,,COLISÃO LATERAL,1,1,0,0,0,0,0,2,0
778,202307865,2023-04-10 0:00:00,2:56:00,COM VÍTIMA,FINALIZADA,BOA VISTA,AV MANOEL BORBA,,EM FRENTE AO VAREJÃO,BOA VISTA,,COLISÃO LATERAL,1,1,0,0,0,0,0,1,0
779,202307869,2023-04-10 0:00:00,3:47:00,COM VÍTIMA,FINALIZADA,GRAÇAS,AV RUI BARBOSA,,EM FRENTE AO RESTAURANTE PAPA CAPIM E COLEGIO DAMAS,GRAÇAS,,COLISÃO COM CICLISTA,1,0,1,0,0,0,0,1,0
780,202307874,2023-04-10 0:00:00,5:50:00,COM VÍTIMA,FINALIZADA,SANTO AMARO,RUA FRANCISCO JACINTO,,PROX A DELEGACIA DA MULHER,SANTO AMARO,,COLISÃO LATERAL,1,1,0,0,0,0,0,1,0
781,202307876,2023-04-10 0:00:00,6:24:00,SEM VÍTIMA,CANCELADA,SANTO ANTÔNIO,RUA SIQUEIRA CAMPOS,AV DANTAS BARRETO,PROX A SICREDE,SANTO ANTÔNIO,,COLISÃO LATERAL,2,0,0,0,0,0,0,0,0
782,202307877,2023-04-10 0:00:00,6:36:00,COM VÍTIMA,FINALIZADA,CAXANGÁ,AV CAXANGA,,EM FRENTE A PRAÇA ESTEVÃO DE SÁ,CAXANGÁ,,COLISÃO TRASEIRA,1,1,0,0,0,0,0,2,0
783,202307885,2023-04-10 0:00:00,7:22:00,COM VÍTIMA,FINALIZADA,GUABIRABA,AV DA RECUPERACAO,,PROXIMO  UPA DE GUABIRABA,GUABIRABA,,COLISÃO FRONTAL,0,2,0,0,0,0,0,2,0
784,202307886,2023-04-10 0:00:00,7:31:00,COM VÍTIMA,FINALIZADA,DERBY,AV GOVERNADOR AGAMENON MAGALHAES,,EM FRENTE AO HOSPITAL MEMORIAL SÃO JOSÉ,DERBY,,COLISÃO LATERAL,0,1,1,0,0,0,0,1,0
785,202307889,2023-04-10 0:00:00,9:19:00,SEM VÍTIMA,FINALIZADA,IPSEP,AV RECIFE,,RODK AUTO,IPSEP,,,1,0,0,0,0,1,0,0,0
786,202307919,2023-04-11 0:00:00,10:25:00,COM VÍTIMA,FINALIZADA,IMBIRIBEIRA,RUA ARQUITETO LUIZ NUNES,,PRÓX. AO ATACAREJO NOVO TEMPO,IMBIRIBEIRA,,COLISÃO TRASEIRA,1,1,0,0,0,0,0,1,0
787,202307936,2023-04-11 0:00:00,12:11:00,SEM VÍTIMA,FINALIZADA,IMBIRIBEIRA,AV MARECHAL MASCARENHAS DE MORAES,,EM FRENTE À FERREIRA COSTA,IMBIRIBEIRA,CIDADE,,0,1,0,0,0,1,0,0,0
788,202307945,2023-04-11 0:00:00,2:05:00,COM VÍTIMA,FINALIZADA,APIPUCOS,RUA DE APIPUCOS,,CONDOMINIO RESERVA DE APIPUCOS,APIPUCOS,,COLISÃO FRONTAL,1,1,0,0,0,0,0,2,0
789,202307953,2023-04-11 0:00:00,2:52:00,SEM VÍTIMA,CANCELADA,TORRE,RUA CANTORA CLARA NUNES,,AO LADO DA IGREJA CAPELINHA,TORRE,,COLISÃO TRASEIRA,2,0,0,0,0,0,0,0,0
790,202307962,2023-04-11 0:00:00,6:06:00,COM VÍTIMA,FINALIZADA,MACAXEIRA,AV NORTE MIGUEL ARRAES DE ALENCAR,,EM FRENTE AO HOTEL NEXOS,MACAXEIRA,,COLISÃO LATERAL,0,2,0,0,0,0,0,2,0
791,202307968,2023-04-11 0:00:00,7:19:00,COM VÍTIMA,FINALIZADA,SÃO JOSÉ,RUA DO FORTE,,AO LADO DO FORTE DAS CINCO PONTAS,SÃO JOSÉ,,ATROPELAMENTO DE PESSOA,1,0,0,0,0,0,0,1,0
792,202307971,2023-04-11 0:00:00,8:18:00,COM VÍTIMA,FINALIZADA,ARRUDA,RUA SETE PECADOS,,ARMAZEM CORAL,ARRUDA,,COLISÃO LATERAL,1,1,0,0,0,0,0,1,0
793,202307974,2023-04-11 0:00:00,11:08:00,COM VÍTIMA,FINALIZADA,GRAÇAS,RUA JOAO RAMOS,,PIZZARIA ATLÂNTICO,GRAÇAS,,COLISÃO TRASEIRA,1,1,0,0,0,0,0,1,0
794,202307978,2023-04-12 0:00:00,5:59:00,SEM VÍTIMA,FINALIZADA,BOA VIAGEM,RUA JOSE ADERVAL CHAVES,,,BOA VIAGEM,,APOIO CELPE,0,0,0,0,0,0,0,0,0
795,202307987,2023-04-12 0:00:00,7:35:00,SEM VÍTIMA,FINALIZADA,TORRÕES,RUA DES CAPISTRANO DE MORAES E SILVA,,AO LADO DA PRAÇA JARDIM DO FORTE DO BOM JESUS,TORRÕES,CIDADE,COLISÃO TRANSVERSAL,2,0,0,0,0,0,0,0,0
